chr	start	end	peak	int_effect	int_qval	SocvSol	priority_gene	fly_protein	fly_Name	fly_Symbol	all_genes	fly_protein_all	fly_Name_all	fly_Symbol_all
LALB_chr_1	21555001	21556192	LALB_chr_1,Parent=peak2203	-1.226723428	0.001511006	social	LALB_v3.1_00500	NA	NA	NA	LALB_v3.1_00499,LALB_v3.1_00500,LALB_v3.1_00501	NP_524022.1	mitochondrial ribosomal protein L2	mRpL2
LALB_chr_1	22197822	22198419	LALB_chr_1,Parent=peak2277	0.801591348	0.041145993	solitary	LALB_v3.1_00532,LALB_v3.1_00533	NP_610983.1	jet fuel	jef	LALB_v3.1_00532,LALB_v3.1_00533	NP_610983.1	jet fuel	jef
LALB_chr_1	22302141	22303726	LALB_chr_1,Parent=peak2296	0.734386876	0.004920689	solitary	LALB_v3.1_00538,LALB_v3.1_00539	NA	NA	NA	LALB_v3.1_00538,LALB_v3.1_00539	NA	NA	NA
LALB_chr_1	22304156	22306230	LALB_chr_1,Parent=peak2297	0.86520399	0.002628736	solitary	LALB_v3.1_00538	NA	NA	NA	LALB_v3.1_00538,LALB_v3.1_00539	NA	NA	NA
LALB_chr_1	22456117	22456911	LALB_chr_1,Parent=peak2310	0.624629092	0.005228888	solitary	LALB_v3.1_00549	NA	NA	NA	LALB_v3.1_00549	NA	NA	NA
LALB_chr_1	22682973	22684993	LALB_chr_1,Parent=peak2335	0.579356096	0.039026396	solitary	LALB_v3.1_00560	NP_511130.2	dusky	dy	LALB_v3.1_00562,LALB_v3.1_00559,LALB_v3.1_00561,LALB_v3.1_00560	NP_572747.1,NP_511130.2	miniature,dusky	m,dy
LALB_chr_1	23543791	23544769	LALB_chr_1,Parent=peak2396	0.604486877	0.015447818	solitary	LALB_v3.1_00568	NP_651573.4	tusp, isoform D	Tusp	LALB_v3.1_00568	NP_651573.4	tusp, isoform D	Tusp
LALB_chr_1	24139712	24140645	LALB_chr_1,Parent=peak2444	0.628403277	0.041099095	solitary	NA	NA	NA	NA		NA	NA	NA
LALB_chr_1	24249605	24250376	LALB_chr_1,Parent=peak2459	-1.206462901	0.032197976	social	NA	NA	NA	NA		NA	NA	NA
LALB_chr_1	24480487	24482030	LALB_chr_1,Parent=peak2474	0.670662698	0.040650704	solitary	NA	NA	NA	NA		NA	NA	NA
LALB_chr_1	24509449	24510868	LALB_chr_1,Parent=peak2475	-0.700887777	0.04252691	social	NA	NA	NA	NA		NA	NA	NA
LALB_chr_1	24542808	24544544	LALB_chr_1,Parent=peak2481	0.843059862	0.02247437	solitary	LALB_v3.1_00593	NA	NA	NA	LALB_v3.1_00593	NA	NA	NA
LALB_chr_1	24920834	24921700	LALB_chr_1,Parent=peak2515	0.605748019	0.031900055	solitary	NA	NA	NA	NA		NA	NA	NA
LALB_chr_1	25205443	25206569	LALB_chr_1,Parent=peak2550	NA	NA	not_tested	LALB_v3.1_00601	NA	NA	NA	LALB_v3.1_00600,LALB_v3.1_00601	NA	NA	NA
LALB_chr_1	25296696	25298500	LALB_chr_1,Parent=peak2558	0.701024736	0.017206842	solitary	LALB_v3.1_00605	NA	NA	NA	LALB_v3.1_00605	NA	NA	NA
LALB_chr_1	25877479	25877992	LALB_chr_1,Parent=peak2603	-1.037826788	0.008094129	social	LALB_v3.1_00622	NP_524055.2	tartan	trn	LALB_v3.1_00622	NP_524055.2	tartan	trn
LALB_chr_1	26400493	26400968	LALB_chr_1,Parent=peak2641	-0.571407553	0.014745487	social	LALB_v3.1_00636	NA	NA	NA	LALB_v3.1_00636,LALB_v3.1_00638,LALB_v3.1_00637	NP_610763.1,NP_573367.1	Deneddylase 1,uncharacterized protein	Den1,CG14196
LALB_chr_1	26708389	26709180	LALB_chr_1,Parent=peak2658	-0.550448571	0.046988142	social	NA	NA	NA	NA		NA	NA	NA
LALB_chr_1	26885649	26886699	LALB_chr_1,Parent=peak2666	0.616912735	0.02352467	solitary	NA	NA	NA	NA		NA	NA	NA
LALB_chr_1	27440951	27441689	LALB_chr_1,Parent=peak2709	0.671654895	0.043980756	solitary	LALB_v3.1_00663	NP_523993.1	Ferredoxin 1	Fdx1	LALB_v3.1_00660,LALB_v3.1_00661,LALB_v3.1_00663,LALB_v3.1_00664,LALB_v3.1_00662	NP_650055.1,NP_650072.2,NP_523993.1,NP_610988.1,NP_649557.2	GRIP and coiled-coil domain containing 88 kDa,D-aminoacyl-tRNA deacylase,Ferredoxin 1,Sprouty-related protein with EVH-1 domain,asterless	GCC88,Dtd,Fdx1,Spred,asl
LALB_chr_1	27594908	27595627	LALB_chr_1,Parent=peak2713	0.998322001	0.009203292	solitary	NA	NA	NA	NA		NA	NA	NA
LALB_chr_1	28820652	28823413	LALB_chr_1,Parent=peak2785	-0.993014332	0.038756196	social	LALB_v3.1_00720	NP_788390.1	muscleblind	mbl	LALB_v3.1_00720	NP_788390.1	muscleblind	mbl
LALB_chr_1	28911115	28911853	LALB_chr_1,Parent=peak2795	-1.114590806	0.007729987	social	LALB_v3.1_00720	NP_788390.1	muscleblind	mbl	LALB_v3.1_00720	NP_788390.1	muscleblind	mbl
LALB_chr_1	29103019	29104027	LALB_chr_1,Parent=peak2819	-0.906754134	0.005871407	social	LALB_v3.1_00723	NP_608428.1	uncharacterized protein, isoform A	CG32512	LALB_v3.1_00724,LALB_v3.1_00723	NP_609389.1,NP_608428.1	Cullin-associated and neddylation-dissociated 1,uncharacterized protein, isoform A	Cand1,CG32512
LALB_chr_1	29125144	29126119	LALB_chr_1,Parent=peak2824	1.351481192	0.00026689	solitary	LALB_v3.1_00726,LALB_v3.1_00727,LALB_v3.1_00729	NP_650430.1	uncharacterized protein	CG4210	LALB_v3.1_00724,LALB_v3.1_00725,LALB_v3.1_00726,LALB_v3.1_00727,LALB_v3.1_00729,LALB_v3.1_00730,LALB_v3.1_00728,LALB_v3.1_00731	NP_609389.1,NP_650430.1	Cullin-associated and neddylation-dissociated 1,uncharacterized protein	Cand1,CG4210
LALB_chr_1	29567360	29568385	LALB_chr_1,Parent=peak2914	0.595132859	0.030155339	solitary	NA	NA	NA	NA		NA	NA	NA
LALB_chr_1	30252970	30254364	LALB_chr_1,Parent=peak3024	-0.867236948	0.033969104	social	NA	NA	NA	NA		NA	NA	NA
LALB_chr_1	30537389	30538243	LALB_chr_1,Parent=peak3069	0.784539323	0.034625419	solitary	LALB_v3.1_00822	NA	NA	NA	LALB_v3.1_00823,LALB_v3.1_00822	NA	NA	NA
LALB_chr_1	30742105	30744881	LALB_chr_1,Parent=peak3094	0.717534041	0.010669308	solitary	LALB_v3.1_00841	NP_476722.1	shotgun	shg	LALB_v3.1_00841	NP_476722.1	shotgun	shg
LALB_chr_1	30853796	30854291	LALB_chr_1,Parent=peak3106	0.859839731	0.037623367	solitary	LALB_v3.1_00849	NA	NA	NA	LALB_v3.1_00850,LALB_v3.1_00851,LALB_v3.1_00849	NP_649211.1,NP_647931.1	uncharacterized protein, isoform A,uncharacterized protein	CG5618,CG7509
LALB_chr_1	30948659	30951320	LALB_chr_1,Parent=peak3114	0.829267503	0.025280887	solitary	LALB_v3.1_00864	NA	NA	NA	LALB_v3.1_00864,LALB_v3.1_00863,LALB_v3.1_00865	NP_611536.1	Souji	Sou
LALB_chr_1	30974450	30976186	LALB_chr_1,Parent=peak3122	0.581879034	0.048364169	solitary	LALB_v3.1_00866	NP_651763.4	Mannosyl (alpha-1,6-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase	Mgat2	LALB_v3.1_00867,LALB_v3.1_00868,LALB_v3.1_00869,LALB_v3.1_00866	NP_609588.1,NP_524547.1,NP_651763.4	uncharacterized protein,string,Mannosyl (alpha-1,6-)-glycoprotein beta-1,2-N-acetylglucosaminyltransferase	CG6180,stg,Mgat2
LALB_chr_1	31185789	31186885	LALB_chr_1,Parent=peak3151	-0.77137835	0.028767438	social	LALB_v3.1_00893	NP_523806.2	Lysyl oxidase-like 2	Loxl2	LALB_v3.1_00893	NP_523806.2	Lysyl oxidase-like 2	Loxl2
LALB_chr_1	31281849	31283588	LALB_chr_1,Parent=peak3163	-0.605095961	0.02475555	social	LALB_v3.1_00897,LALB_v3.1_00898	NA	NA	NA	LALB_v3.1_00897,LALB_v3.1_00898	NA	NA	NA
LALB_chr_1	31504717	31505797	LALB_chr_1,Parent=peak3193	1.052287608	0.035463427	solitary	NA	NA	NA	NA		NA	NA	NA
LALB_chr_1	31561203	31562200	LALB_chr_1,Parent=peak3199	NA	NA	not_tested	LALB_v3.1_00915	NP_731868.1	empty spiracles	ems	LALB_v3.1_00915	NP_731868.1	empty spiracles	ems
LALB_chr_1	31602548	31603842	LALB_chr_1,Parent=peak3204	0.917912325	0.039026396	solitary	NA	NA	NA	NA		NA	NA	NA
LALB_chr_1	31746506	31747517	LALB_chr_1,Parent=peak3218	-1.570845685	0.005663504	social	LALB_v3.1_00917	NA	NA	NA	LALB_v3.1_00917	NA	NA	NA
LALB_chr_1	32026083	32026708	LALB_chr_1,Parent=peak3249	-1.117769299	0.040808532	social	LALB_v3.1_00920	NA	NA	NA	LALB_v3.1_00920	NA	NA	NA
LALB_chr_1	32097698	32099205	LALB_chr_1,Parent=peak3262	0.945249751	0.029190621	solitary	LALB_v3.1_00920	NA	NA	NA	LALB_v3.1_00920	NA	NA	NA
LALB_chr_1	32508218	32509201	LALB_chr_1,Parent=peak3314	-1.055001394	0.003879105	social	NA	NA	NA	NA		NA	NA	NA
LALB_chr_1	32817649	32819607	LALB_chr_1,Parent=peak3343	-0.872515866	0.021377895	social	NA	NA	NA	NA		NA	NA	NA
LALB_chr_1	32874508	32875524	LALB_chr_1,Parent=peak3348	-0.720474157	0.001781527	social	LALB_v3.1_00972	NP_650554.3	Cadherin 89D	Cad89D	LALB_v3.1_00972	NP_650554.3	Cadherin 89D	Cad89D
LALB_chr_1	33177315	33178611	LALB_chr_1,Parent=peak3373	0.923443236	0.011027155	solitary	LALB_v3.1_00988	NP_729555.4	uncharacterized protein, isoform C	CG32052	LALB_v3.1_00988	NP_729555.4	uncharacterized protein, isoform C	CG32052
LALB_chr_1	33211189	33212135	LALB_chr_1,Parent=peak3378	-0.801607441	0.006816203	social	LALB_v3.1_00988	NP_729555.4	uncharacterized protein, isoform C	CG32052	LALB_v3.1_00988	NP_729555.4	uncharacterized protein, isoform C	CG32052
LALB_chr_1	33238501	33239467	LALB_chr_1,Parent=peak3381	0.681125779	0.044745138	solitary	NA	NA	NA	NA		NA	NA	NA
LALB_chr_1	33449950	33451135	LALB_chr_1,Parent=peak3397	0.646822471	0.017442917	solitary	LALB_v3.1_00989	NP_611836.2	Glycine transporter	GlyT	LALB_v3.1_00989	NP_611836.2	Glycine transporter	GlyT
LALB_chr_1	33721872	33723659	LALB_chr_1,Parent=peak3431	0.718430915	0.025281922	solitary	LALB_v3.1_01001	NP_648555.1	Carbonic anhydrase 2	CAH2	LALB_v3.1_01002,LALB_v3.1_01001	NP_651757.1,NP_648555.1	uncharacterized protein,Carbonic anhydrase 2	CG15525,CAH2
LALB_chr_1	33798312	33799658	LALB_chr_1,Parent=peak3443	0.589692394	0.022794868	solitary	LALB_v3.1_01007	NA	NA	NA	LALB_v3.1_01008,LALB_v3.1_01007	NP_524880.2	Malic enzyme	Men
LALB_chr_1	34312220	34313951	LALB_chr_1,Parent=peak3496	0.576791519	0.010935914	solitary	NA	NA	NA	NA		NA	NA	NA
LALB_chr_1	34383009	34384627	LALB_chr_1,Parent=peak3504	0.510911626	0.028425004	solitary	LALB_v3.1_01044	NA	NA	NA	LALB_v3.1_01044	NA	NA	NA
LALB_chr_1	34393202	34395145	LALB_chr_1,Parent=peak3507	-0.574742044	0.005157	social	LALB_v3.1_01044	NA	NA	NA	LALB_v3.1_01044	NA	NA	NA
LALB_chr_1	34478588	34479349	LALB_chr_1,Parent=peak3517	0.757215718	0.038495422	solitary	LALB_v3.1_01052	NA	NA	NA	LALB_v3.1_01052,LALB_v3.1_01054,LALB_v3.1_01051,LALB_v3.1_01053	NP_651796.1,NP_651684.1	uncharacterized protein, isoform A,CDGSH iron sulfur domain 2	CG2224,Cisd2
LALB_chr_10	1236131	1238131	LALB_chr_10,Parent=peak3747	-0.536125033	0.02205915	social	NA	NA	NA	NA		NA	NA	NA
LALB_chr_10	1525735	1526552	LALB_chr_10,Parent=peak3809	0.554856005	0.025965867	solitary	NA	NA	NA	NA		NA	NA	NA
LALB_chr_10	1675989	1676871	LALB_chr_10,Parent=peak3831	0.388231729	0.044861543	solitary	NA	NA	NA	NA		NA	NA	NA
LALB_chr_10	2581146	2582117	LALB_chr_10,Parent=peak3913	1.411240043	0.006816203	solitary	NA	NA	NA	NA		NA	NA	NA
LALB_chr_10	3084787	3086819	LALB_chr_10,Parent=peak3956	0.702341228	0.032007984	solitary	NA	NA	NA	NA		NA	NA	NA
LALB_chr_10	3111424	3112666	LALB_chr_10,Parent=peak3959	-0.406992121	0.046538858	social	LALB_v3.1_07495	NA	NA	NA	LALB_v3.1_07495	NA	NA	NA
LALB_chr_10	3124586	3125421	LALB_chr_10,Parent=peak3961	0.959999241	0.014012664	solitary	LALB_v3.1_07495	NA	NA	NA	LALB_v3.1_07495	NA	NA	NA
LALB_chr_10	3133243	3134746	LALB_chr_10,Parent=peak3964	-0.466560136	0.021132757	social	NA	NA	NA	NA		NA	NA	NA
LALB_chr_10	3457558	3459566	LALB_chr_10,Parent=peak4008	0.993457111	0.033114163	solitary	LALB_v3.1_07505	NA	NA	NA	LALB_v3.1_07505,LALB_v3.1_07507,LALB_v3.1_07506,LALB_v3.1_07508	NA	NA	NA
LALB_chr_10	3866014	3867664	LALB_chr_10,Parent=peak4042	0.658332374	0.013440177	solitary	LALB_v3.1_07536	NA	NA	NA	LALB_v3.1_07536	NA	NA	NA
LALB_chr_10	4062535	4063920	LALB_chr_10,Parent=peak4075	0.50804784	0.046288269	solitary	NA	NA	NA	NA		NA	NA	NA
LALB_chr_10	4107919	4110498	LALB_chr_10,Parent=peak4081	0.844006634	0.00507734	solitary	NA	NA	NA	NA		NA	NA	NA
LALB_chr_10	4334705	4335423	LALB_chr_10,Parent=peak4122	-0.912913851	0.015474503	social	LALB_v3.1_07548	NA	NA	NA	LALB_v3.1_07548	NA	NA	NA
LALB_chr_10	4533615	4534189	LALB_chr_10,Parent=peak4148	-1.203193761	0.001589236	social	LALB_v3.1_07560	NA	NA	NA	LALB_v3.1_07560,LALB_v3.1_07559,LALB_v3.1_07561	NP_649255.1	uncharacterized protein	CG11396
LALB_chr_10	4751464	4752865	LALB_chr_10,Parent=peak4160	0.674670054	0.043040674	solitary	LALB_v3.1_07576	NA	NA	NA	LALB_v3.1_07576,LALB_v3.1_07577,LALB_v3.1_07578	NP_650488.1,NP_650821.2	uncharacterized protein,Nucleoporin 58kD	CG9590,Nup58
LALB_chr_10	5192923	5193801	LALB_chr_10,Parent=peak4179	0.847457817	0.012364989	solitary	LALB_v3.1_07593	NP_652007.1	NOP2-Sun domain family, member 2	Nsun2	LALB_v3.1_07592,LALB_v3.1_07593,LALB_v3.1_07594	NP_652007.1,NP_609981.1	NOP2-Sun domain family, member 2,uncharacterized protein	Nsun2,CG10137
LALB_chr_10	5410545	5411492	LALB_chr_10,Parent=peak4194	1.524359394	0.001734474	solitary	NA	NA	NA	NA		NA	NA	NA
LALB_chr_10	5460657	5462931	LALB_chr_10,Parent=peak4198	-1.422664341	0.000914616	social	NA	NA	NA	NA		NA	NA	NA
LALB_chr_10	5664127	5665221	LALB_chr_10,Parent=peak4219	0.735867803	0.02475555	solitary	LALB_v3.1_07598	NP_995615.2	Transmembrane O-mannosyltransferase targeting cadherins 1	Tmtc1	LALB_v3.1_07598	NP_995615.2	Transmembrane O-mannosyltransferase targeting cadherins 1	Tmtc1
LALB_chr_10	5724096	5725962	LALB_chr_10,Parent=peak4224	-0.472699282	0.044625308	social	LALB_v3.1_07598	NP_995615.2	Transmembrane O-mannosyltransferase targeting cadherins 1	Tmtc1	LALB_v3.1_07598	NP_995615.2	Transmembrane O-mannosyltransferase targeting cadherins 1	Tmtc1
